[2026-02-12 16:38:29,214] INFO      [NEHA] Starting adapter
[2026-02-12 16:38:29,216] INFO      [NEHA] Initializing MotilalAdapter for entity 'NEHA'
[2026-02-12 16:38:29,216] INFO      [NEHA] [API REQUEST] Performing login for client_id=SSFS1207
[2026-02-12 16:38:29,470] INFO      [NEHA] [API RESPONSE]~{"status": "SUCCESS", "message": "Return Auth Token SUCCESS", "errorcode": "", "AuthToken": "6a36dec612c441d18c0370cab31874c8_M", "isAuthTokenVerified": "TRUE"}
[2026-02-12 16:38:29,470] INFO      [NEHA] Login successful! AuthToken received.
[2026-02-12 16:38:29,472] INFO      [NEHA] Login successful! Token received from auth API.
[2026-02-12 16:38:29,472] INFO      [NEHA] Order and Portfolio APIs initialized. Ready to connect.
[2026-02-12 16:38:29,472] INFO      [NEHA] [ADAPTER] Starting Motilal WebSocket connection...
[2026-02-12 16:38:29,473] INFO      [NEHA] [WEBSOCKET] Started for entity=NEHA, client_id=SSFS1207
[2026-02-12 16:38:29,473] INFO      [NEHA] [ADAPTER] Motilal WebSocket started successfully
[2026-02-12 16:38:29,539] INFO      [NEHA] Adapter connected successfully
[2026-02-12 16:38:29,661] INFO      [NEHA] [WEBSOCKET] Connected entity=NEHA, sending auth
[2026-02-12 16:38:29,662] INFO      [NEHA] [WEBSOCKET] Sending None: {"clientid": "SSFS1207", "authtoken": "6a36dec612c441d18c0370cab31874c8_M", "apikey": "seHmm4lPijruKWRl"}
[2026-02-12 16:38:29,662] INFO      [NEHA] [WEBSOCKET] Heartbeat started (interval=30s)
[2026-02-12 16:38:29,704] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:29,704] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"status": "SUCCESS", "message": "Auth success", "errorcode": ""}
[2026-02-12 16:38:29,705] INFO      [NEHA] [WEBSOCKET] Auth success, subscribing entity=NEHA
[2026-02-12 16:38:29,705] INFO      [NEHA] [WEBSOCKET] Sending OrderSubscribe: {"clientid": "SSFS1207", "action": "OrderSubscribe"}
[2026-02-12 16:38:29,705] INFO      [NEHA] [WEBSOCKET] Sending TradeSubscribe: {"clientid": "SSFS1207", "action": "TradeSubscribe"}
[2026-02-12 16:38:29,741] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:29,741] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"status": "SUCCESS", "message": "Order Subscribed Success", "errorcode": ""}
[2026-02-12 16:38:29,742] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:29,742] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"status": "SUCCESS", "message": "Trade Subscribed Success", "errorcode": ""}
[2026-02-12 16:38:37,084] INFO      [NEHA] [BLITZ-INBOUND] Action=PLACE_ORDER, Full payload: {"Action": "PLACE_ORDER", "TPOmsName": "MOFL", "UserId": "82681be6-577f-431e-ac97-5276a8d13405", "UserName": "NEHA", "Data": {"Account": "", "ExchangeClientID": "NEHA", "ExchangeSegment": "NSECM", "ExchangeInstrumentID": 17376, "SymbolName": "EXCEL", "ExchangeInstrumentName": "EXCEL", "ProductType": "MIS", "OrderType": "LIMIT", "OrderSide": "Buy", "TimeInForce": "GFD", "DisclosedQuantity": 0, "OrderQuantity": 1, "LimitPrice": 1.22, "StopPrice": 0.0, "BlitzAppOrderID": 3156655029, "AlgoID": "0", "AlgoCategory": "0", "IsFictiveOrder": "False"}}
[2026-02-12 16:38:37,085] INFO      [NEHA] [BLITZ-INBOUND] PLACE_ORDER - Parameters: {"Account": "", "ExchangeClientID": "NEHA", "ExchangeSegment": "NSECM", "ExchangeInstrumentID": 17376, "SymbolName": "EXCEL", "ExchangeInstrumentName": "EXCEL", "ProductType": "MIS", "OrderType": "LIMIT", "OrderSide": "Buy", "TimeInForce": "GFD", "DisclosedQuantity": 0, "OrderQuantity": 1, "LimitPrice": 1.22, "StopPrice": 0.0, "BlitzAppOrderID": 3156655029, "AlgoID": "0", "AlgoCategory": "0", "IsFictiveOrder": "False"}
[2026-02-12 16:38:37,085] INFO      [NEHA] Blitz data cached: 3156655029
[2026-02-12 16:38:37,085] INFO      [NEHA] [TPOMS-OUTBOUND][API] PLACE_ORDER - Parameters: {"symboltoken": 17376, "exchange": "NSE", "side": "Buy", "order_type": "LIMIT", "quantity": 1, "product_type": "NORMAL", "price": 1.22, "trigger_price": 0.0, "validity": "DAY", "tag": 3156655029, "amoorder": "N"}
[2026-02-12 16:38:37,086] INFO      [NEHA] Using ExchangeInstrumentID as symbol token: 17376
[2026-02-12 16:38:37,086] INFO      [NEHA] [API REQUEST] {"exchange": "NSE", "symboltoken": 17376, "buyorsell": "BUY", "ordertype": "LIMIT", "producttype": "NORMAL", "quantityinlot": 1, "amoorder": "N", "price": 1.22, "triggerprice": 0.0, "orderduration": "DAY", "tag": "3156655029"}
[2026-02-12 16:38:37,361] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:37,364] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"ordercategory": "NORMAL", "clientid": "SSFS1207", "exchange": "NSE", "symboltoken": 17376, "symbol": "EXCEL EQ", "series": "EQ", "expirydate": "0", "strikeprice": 0, "optiontype": "EQ", "orderid": "0", "orderinitiatorid": "SSFS1207", "ordertype": "Limit", "orderduration": "DAY", "producttype": "NORMAL", "error": "", "orderstatus": "SENT", "buyorsell": "BUY", "totalqtyremaining": 1, "orderqty": 1, "qtytradedtoday": 0, "disclosedqty": 0, "price": 1.22, "triggerprice": 0, "entrydatetime": "01-Jan-1980 00:00:00", "lastmodifiedtime": "01-Jan-1980 00:00:00", "vendor": "", "uniqueorderid": "1200055SSFS1207", "goodtilldate": "", "algoid": 0, "algocategory": 0, "averageprice": 0, "totalqtytraded": 0, "lotsize": 1, "tag": "3156655029"}
[2026-02-12 16:38:37,364] INFO      [NEHA] [WEBSOCKET] Order update received: 1200055SSFS1207, status=SENT
[2026-02-12 16:38:37,364] WARNING   [NEHA] [WEBSOCKET] No Blitz mapping for order_id=1200055SSFS1207
[2026-02-12 16:38:37,365] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:37,365] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"ordercategory": "NORMAL", "clientid": "SSFS1207", "exchange": "NSE", "symboltoken": 17376, "symbol": "EXCEL EQ", "series": "EQ", "expirydate": "0", "strikeprice": 0, "optiontype": "EQ", "orderid": "0", "orderinitiatorid": "SSFS1207", "ordertype": "Limit", "orderduration": "DAY", "producttype": "NORMAL", "error": "You Are Not Authorised To Access This Product. Get Intouch With Your CSE Desk", "orderstatus": "ERROR", "buyorsell": "BUY", "totalqtyremaining": 1, "orderqty": 1, "qtytradedtoday": 0, "disclosedqty": 0, "price": 1.22, "triggerprice": 0, "entrydatetime": "01-Jan-1980 00:00:00", "lastmodifiedtime": "01-Jan-1980 00:00:00", "vendor": "", "uniqueorderid": "1200055SSFS1207", "goodtilldate": "", "algoid": 0, "algocategory": 0, "averageprice": 0, "totalqtytraded": 0, "lotsize": 1, "tag": "3156655029"}
[2026-02-12 16:38:37,365] INFO      [NEHA] [WEBSOCKET] Order update received: 1200055SSFS1207, status=ERROR
[2026-02-12 16:38:37,365] WARNING   [NEHA] [WEBSOCKET] No Blitz mapping for order_id=1200055SSFS1207
[2026-02-12 16:38:37,388] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:37,388] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"ordercategory": "NORMAL", "clientid": "SSFS1207", "exchange": "NSE", "symboltoken": 17376, "symbol": "EXCEL EQ", "series": "EQ", "expirydate": "0", "strikeprice": 0, "optiontype": "EQ", "orderid": "0", "orderinitiatorid": "SSFS1207", "ordertype": "Limit", "orderduration": "DAY", "producttype": "NORMAL", "error": "", "orderstatus": "SENT", "buyorsell": "BUY", "totalqtyremaining": 1, "orderqty": 1, "qtytradedtoday": 0, "disclosedqty": 0, "price": 1.22, "triggerprice": 0, "entrydatetime": "01-Jan-1980 00:00:00", "lastmodifiedtime": "01-Jan-1980 00:00:00", "vendor": "", "uniqueorderid": "1200056SSFS1207", "goodtilldate": "", "algoid": 0, "algocategory": 0, "averageprice": 0, "totalqtytraded": 0, "lotsize": 1, "tag": "3156655029"}
[2026-02-12 16:38:37,388] INFO      [NEHA] [WEBSOCKET] Order update received: 1200056SSFS1207, status=SENT
[2026-02-12 16:38:37,388] WARNING   [NEHA] [WEBSOCKET] No Blitz mapping for order_id=1200056SSFS1207
[2026-02-12 16:38:37,388] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:37,388] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"ordercategory": "NORMAL", "clientid": "SSFS1207", "exchange": "NSE", "symboltoken": 17376, "symbol": "EXCEL EQ", "series": "EQ", "expirydate": "0", "strikeprice": 0, "optiontype": "EQ", "orderid": "0", "orderinitiatorid": "SSFS1207", "ordertype": "Limit", "orderduration": "DAY", "producttype": "NORMAL", "error": "", "orderstatus": "SENT", "buyorsell": "BUY", "totalqtyremaining": 1, "orderqty": 1, "qtytradedtoday": 0, "disclosedqty": 0, "price": 1.22, "triggerprice": 0, "entrydatetime": "01-Jan-1980 00:00:00", "lastmodifiedtime": "01-Jan-1980 00:00:00", "vendor": "", "uniqueorderid": "1200057SSFS1207", "goodtilldate": "", "algoid": 0, "algocategory": 0, "averageprice": 0, "totalqtytraded": 0, "lotsize": 1, "tag": "3156655029"}
[2026-02-12 16:38:37,388] INFO      [NEHA] [WEBSOCKET] Order update received: 1200057SSFS1207, status=SENT
[2026-02-12 16:38:37,388] INFO      [NEHA] [WEBSOCKET] Updated cache for blitz_id=3156655029
[2026-02-12 16:38:37,388] INFO      [NEHA] [WEBSOCKET] Skipping unmapped status SENT for order_id=1200057SSFS1207
[2026-02-12 16:38:37,420] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:37,420] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"ordercategory": "NORMAL", "clientid": "SSFS1207", "exchange": "NSE", "symboltoken": 17376, "symbol": "EXCEL EQ", "series": "EQ", "expirydate": "0", "strikeprice": 0, "optiontype": "EQ", "orderid": "0", "orderinitiatorid": "SSFS1207", "ordertype": "Limit", "orderduration": "DAY", "producttype": "NORMAL", "error": "You Are Not Authorised To Access This Product. Get Intouch With Your CSE Desk", "orderstatus": "ERROR", "buyorsell": "BUY", "totalqtyremaining": 1, "orderqty": 1, "qtytradedtoday": 0, "disclosedqty": 0, "price": 1.22, "triggerprice": 0, "entrydatetime": "01-Jan-1980 00:00:00", "lastmodifiedtime": "01-Jan-1980 00:00:00", "vendor": "", "uniqueorderid": "1200056SSFS1207", "goodtilldate": "", "algoid": 0, "algocategory": 0, "averageprice": 0, "totalqtytraded": 0, "lotsize": 1, "tag": "3156655029"}
[2026-02-12 16:38:37,420] INFO      [NEHA] [WEBSOCKET] Order update received: 1200056SSFS1207, status=ERROR
[2026-02-12 16:38:37,420] WARNING   [NEHA] [WEBSOCKET] No Blitz mapping for order_id=1200056SSFS1207
[2026-02-12 16:38:37,420] INFO      [NEHA] [WEBSOCKET] _on_message received
[2026-02-12 16:38:37,421] INFO      [NEHA] [TPOMS-INBOUND][WebSocket] Incoming message:{"ordercategory": "NORMAL", "clientid": "SSFS1207", "exchange": "NSE", "symboltoken": 17376, "symbol": "EXCEL EQ", "series": "EQ", "expirydate": "0", "strikeprice": 0, "optiontype": "EQ", "orderid": "0", "orderinitiatorid": "SSFS1207", "ordertype": "Limit", "orderduration": "DAY", "producttype": "NORMAL", "error": "You Are Not Authorised To Access This Product. Get Intouch With Your CSE Desk", "orderstatus": "ERROR", "buyorsell": "BUY", "totalqtyremaining": 1, "orderqty": 1, "qtytradedtoday": 0, "disclosedqty": 0, "price": 1.22, "triggerprice": 0, "entrydatetime": "01-Jan-1980 00:00:00", "lastmodifiedtime": "01-Jan-1980 00:00:00", "vendor": "", "uniqueorderid": "1200057SSFS1207", "goodtilldate": "", "algoid": 0, "algocategory": 0, "averageprice": 0, "totalqtytraded": 0, "lotsize": 1, "tag": "3156655029"}
[2026-02-12 16:38:37,421] INFO      [NEHA] [WEBSOCKET] Order update received: 1200057SSFS1207, status=ERROR
[2026-02-12 16:38:37,421] INFO      [NEHA] [WEBSOCKET] Updated cache for blitz_id=3156655029
[2026-02-12 16:38:37,421] INFO      [NEHA] Published BY WEBSOCKET
[2026-02-12 16:38:37,576] ERROR     [NEHA] [PLACE_ORDER ERROR] {"MessageType": "PLACE_ORDER", "TPOmsName": "MOFL", "UserId": "NEHA", "Data": [{"SequenceNumber": 0, "Account": "", "ExchangeClientID": "NEHA", "BlitzAppOrderID": "3156655029", "ExchangeOrderID": "0", "ExchangeSegment": "NSECM", "ExchangeInstrumentID": 17376, "OrderSide": "Buy", "OrderType": "LIMIT", "ProductType": "MIS", "TimeInForce": "GFD", "OrderPrice": 1.22, "OrderQuantity": 1, "OrderStopPrice": 0.0, "OrderStatus": "Rejected", "OrderAverageTradedPrice": "", "LeavesQuantity": 0, "CumulativeQuantity": 0, "OrderDisclosedQuantity": 0, "OrderGeneratedDateTime": "", "ExchangeTransactTime": "", "LastUpdateDateTime": "", "CancelRejectReason": "You Are Not Authorised To Access This Product. Get Intouch With Your CSE Desk", "LastTradedPrice": 0.0, "LastTradedQuantity": 0, "LastExecutionTransactTime": "", "ExecutionID": ""}]}
[2026-02-12 16:38:37,669] INFO      [NEHA] [BLITZ-OUTBOUND][WEBSOCKET] Publishing order update: {"SequenceNumber": 0, "Account": "SSFS1207", "ExchangeClientID": "NEHA", "BlitzAppOrderID": 3156655029, "ExchangeOrderID": "0", "ExchangeSegment": "NSECM", "ExchangeInstrumentID": 17376, "OrderSide": "Buy", "OrderType": "LIMIT", "ProductType": "MIS", "TimeInForce": "GFD", "OrderPrice": 0.0, "OrderQuantity": 1, "OrderStopPrice": 0.0, "OrderStatus": "Rejected", "OrderAverageTradedPrice": 0.0, "LeavesQuantity": 1, "CumulativeQuantity": 0, "OrderDisclosedQuantity": 0, "OrderGeneratedDateTime": "01-Jan-1980 00:00:00", "ExchangeTransactTime": "01-Jan-1980 00:00:00", "LastUpdateDateTime": "01-Jan-1980 00:00:00", "CancelRejectReason": "You Are Not Authorised To Access This Product. Get Intouch With Your CSE Desk", "LastTradedPrice": 0.0, "LastTradedQuantity": 0, "LastExecutionTransactTime": "01-Jan-1980 00:00:00", "ExecutionID": ""}
